iter	Passed	Remaining
0	12	12583
1	24	12401
2	33	11114
3	38	9698
4	44	8779
5	49	8172
6	55	7808
7	60	7480
8	65	7230
9	71	7039
10	76	6863
11	81	6718
12	87	6644
13	93	6567
14	99	6518
15	104	6441
16	110	6365
17	115	6322
18	121	6272
19	126	6220
20	132	6185
21	138	6139
22	143	6102
23	150	6110
24	155	6066
25	160	6013
26	166	6009
27	172	5974
28	177	5934
29	182	5913
30	188	5878
31	193	5845
32	198	5827
33	204	5798
34	209	5770
35	214	5748
36	219	5723
37	225	5698
38	231	5701
39	236	5680
40	241	5657
41	247	5644
42	252	5622
43	257	5601
44	263	5583
45	268	5561
46	273	5542
47	278	5523
48	283	5509
49	289	5493
50	294	5478
51	299	5465
52	305	5450
53	310	5436
54	315	5422
55	320	5407
56	326	5395
57	331	5385
58	336	5370
59	341	5353
60	347	5348
61	352	5332
62	357	5319
63	363	5312
64	368	5300
65	373	5286
66	378	5277
67	384	5267
68	389	5254
69	395	5252
70	400	5241
71	405	5229
72	411	5226
73	416	5214
74	421	5202
75	428	5208
76	433	5200
77	439	5189
78	444	5183
79	449	5171
80	454	5160
81	460	5150
82	465	5137
83	470	5127
84	475	5121
85	481	5112
86	486	5100
87	491	5093
88	496	5083
89	501	5074
90	507	5066
91	512	5056
92	517	5047
93	522	5038
94	528	5032
95	533	5022
96	538	5013
97	544	5007
98	549	4999
99	554	4989
100	559	4981
101	565	4975
102	570	4966
103	575	4960
104	581	4953
105	586	4944
106	591	4939
107	596	4930
108	601	4920
109	607	4915
110	612	4906
111	617	4898
112	623	4891
113	628	4882
114	633	4872
115	638	4867
116	643	4859
117	648	4850
118	654	4843
119	659	4836
120	664	4827
121	669	4819
122	674	4812
123	679	4803
124	685	4795
125	690	4792
126	696	4784
127	701	4776
128	707	4777
129	712	4770
130	717	4762
131	724	4760
132	729	4754
133	735	4750
134	740	4744
135	745	4736
136	750	4729
137	755	4722
138	761	4714
139	766	4707
140	771	4700
141	776	4692
142	781	4684
143	787	4679
144	792	4671
145	797	4664
146	802	4658
147	807	4651
148	813	4645
149	819	4641
150	824	4634
151	829	4626
152	834	4621
153	839	4614
154	845	4607
155	850	4600
156	855	4593
157	860	4587
158	866	4585
159	872	4579
160	877	4573
161	883	4568
162	888	4562
163	893	4555
164	899	4549
165	904	4543
166	909	4536
167	914	4528
168	920	4524
169	925	4517
170	930	4510
171	935	4504
172	940	4496
173	945	4489
174	951	4484
175	956	4477
176	961	4469
177	966	4464
178	971	4457
179	976	4450
180	982	4444
181	987	4437
182	992	4430
183	998	4426
184	1003	4419
185	1008	4413
186	1013	4408
187	1019	4402
188	1024	4394
189	1029	4389
190	1035	4384
191	1040	4377
192	1045	4371
193	1050	4364
194	1055	4358
195	1060	4351
196	1066	4346
197	1071	4339
198	1076	4332
199	1081	4327
200	1087	4321
201	1092	4314
202	1097	4309
203	1102	4303
204	1108	4298
205	1114	4295
206	1119	4290
207	1125	4283
208	1130	4278
209	1135	4273
210	1140	4266
211	1146	4260
212	1151	4254
213	1156	4247
214	1161	4240
215	1166	4234
216	1171	4228
217	1177	4222
218	1182	4217
219	1187	4210
220	1192	4204
221	1198	4200
222	1204	4195
223	1209	4190
224	1215	4185
225	1220	4179
226	1225	4173
227	1231	4168
228	1236	4162
229	1241	4155
